long,lat
-123.75384,48.096413
-122.558621,46.888349
-122.469864,45.732426
-122.561171,47.734395
-122.203169,47.619011
-122.122018,47.678465
-120.092045,47.87508
-122.151342,47.560192
-122.275593,47.54055
-122.02812,47.393554
-122.303324,47.756486
-122.249664,47.497442
-122.02812,47.393554
-122.281856,47.811678
-122.132064,47.494834
-119.285025,46.247465
-122.281856,47.811678
-117.379793,47.656684
-122.447436,47.223022
-122.028168,47.586173
-122.298657,47.663771
-122.122018,47.678465
-122.122018,47.678465
-122.10812,47.838517
-122.275593,47.54055
-122.188994,47.678406
-122.333046,47.829439
-122.122018,47.678465
-122.471983,46.953968
-122.057522,47.749161
-122.188994,47.678406
-122.379354,47.687571
-122.281856,47.811678
-123.020941,46.96755
-122.298657,47.663771
-122.379354,47.687571
-122.313368,47.54411
-122.374864,47.548552
-122.122018,47.678465
-122.151342,47.560192
-122.261993,45.622947
-122.132064,47.494834
-122.628735,45.715902
-122.454718,48.801538
-122.122018,47.678465
-122.379354,47.687571
-122.303413,47.61065
-122.388955,47.537382
-122.362029,47.308531
-122.303324,47.756486
-122.227707,47.943014
-122.346385,47.630685
-122.293946,46.086161
-122.399558,47.648651
-122.204248,47.719278
-122.770534,47.202464
-122.313368,47.54411
-122.379354,47.687571
-122.818016,48.080229
-122.30033,47.585339
-122.261993,45.622947
-123.020941,46.96755
-122.010741,47.506838
-122.132064,47.494834
-122.151342,47.560192
-122.399558,47.648651
-122.454718,48.801538
-122.334341,47.611423
-122.63841,48.310313
-122.785612,47.98059
-122.303604,47.716244
-122.009025,47.320078
-122.399558,47.648651
-122.302507,47.911921
-122.367721,47.639264
-122.234589,47.626443
-122.751179,47.002092
-122.661302,45.650422
-122.132064,47.494834
-122.227947,47.565443
-122.633393,47.748427
-122.221114,48.097872
-122.265368,47.133331
-122.510748,45.603727
-122.151342,47.560192
-122.297534,47.685291
-122.204248,47.719278
-122.201515,47.843376
-122.183961,47.510245
-122.215501,47.476576
-122.014191,47.559121
-122.203169,47.619011
-122.281856,47.811678
-122.183961,47.510245
-122.297534,47.685291
-122.117365,47.609515
-121.819086,47.539931
-122.379354,47.687571
-122.333046,47.829439
-122.196448,47.40561
-122.151342,47.560192
-122.227707,47.943014
-122.357206,47.501207
-122.367721,47.639264
-122.612932,47.300296
-122.227947,47.565443
-122.303604,47.716244
-122.357206,47.501207
-122.116674,47.363112
-122.298657,47.663771
-122.197147,47.757791
-122.014191,47.559121
-122.628735,45.715902
-122.408498,45.620943
-122.343983,47.739969
-122.143231,47.611666
-122.357206,47.501207
-122.298657,47.663771
