station_id,charging_status,latitude,longtitude,address,zip_code,outlet_counts
145667,TRUE,47.455711,-122.25738,301 Strander Blvd.,98188,2
145666,TRUE,47.451709,-122.295497,16826 International Blvd,98188,1
145665,TRUE,47.451373,-122.826865,23730 NE HWY  3,98528,1
145664,TRUE,47.450258,-122.299448,2623 S 170th St,98188,2
145663,TRUE,47.44897,-122.25331,700 Andover Park W,98188,1
145662,TRUE,47.4463797,-122.2196648,3715 E Valley Rd,98057,1
145661,TRUE,47.44299,-122.227169,601 SW 41st St,98057,1
145654,TRUE,47.3951507,-122.2953153,23003 Pacific Highway South,98198,1
145653,TRUE,47.389484,-122.301609,2400 S 240th St,98198,1
145652,TRUE,47.3839447,-122.2336529,301-383 1st Ave N,98032,1
145651,TRUE,47.380135,-122.196106,10828 SE 248th St,98030,1
145648,TRUE,47.362455,-122.017988,26520 Maple Valley Black Diamond Road SE,98038,1
145647,TRUE,47.360982,-122.110209,17432 SE 270th PL,98042,3
145646,TRUE,47.356087,-122.101311,18025 SE 272nd St,98042,1
145642,TRUE,47.3207,-122.219776,1416 HARVEY RD,98002,2
145640,TRUE,47.315392,-122.307147,2016 S 320th St,98003,1
145639,TRUE,47.307249,-122.229499,2 East Main Street,98001,1
145638,TRUE,47.301047,-122.214835,1103 Ninth Avenue SE,98002,1
145637,TRUE,47.29815874,-122.5034184,5005 Main Street,98407,1
145636,TRUE,47.2968474,-122.3814568,34008 Hoyt Rd. SW,98023,2
145635,TRUE,47.2944668,-122.2458311,1102 15th Street Southwest,98001,1
145634,TRUE,47.293216,-122.212814,1701 Auburn Way S,98002,2
145633,TRUE,47.2909636,-122.1953885,2402 Auburn Way,98002,1
145632,TRUE,47.281263,-122.516582,3540 N Pearl St,98407,1
145631,TRUE,47.25914,-122.514596,1015 N Pearl St,98406,1
145630,TRUE,47.2516554,-122.4376564,1301 Pacific Ave,98402,1
145629,TRUE,47.249586,-122.452844,1314 S L St,98405,1
145628,TRUE,47.2464713,-122.4396442,1717 Market Street,98402,1
